Corrected.Por	TOC	Quartz	Calcite	Dolomite	Illite
6.67	4.15	38.6	0	0	25.7
6.07	4.25	48.6	6.2	0	20.4
4.91	3.4	41	2.5	0	27.7
6	0.39	4.6	66.4	0	5
5.63	3.9	37	0.6	1.2	23.5
5.85	3.95	40.6	2.7	0	21
0.88	3.5	29.3	5.5	0	29.1
6.14	4.12	43.1	10	0	19.7
5.27	3.61	33.7	21.9	0	22
6.02	5.92	54.8	0	0	12
4.46	3.15	50	7	0	18
5.27	4.68	42.1	11.5	0	16
4.42	2.49	27.3	21.1	11.1	13.7
5.55	1.7	35.6	25.3	0	11
5.09	3.49	40.9	0.4	0	25.5
2.52	2.5	20.4	31	5.6	16.3
2.7	1.51	3.7	28.5	30.1	12
2.77	1.7	11.1	36.8	5.6	18.5
2.09	0.83	6.8	61.3	5.1	6.8
1.96	1.14	10.6	45.8	4.9	16.6
2.13	1.29	10.3	53.4	0	12.4
2.74	1.44	8.4	56.7	0	10
2.03	0.49	1.8	68.8	1.7	5.4
2.16	0.64	0	78.6	0	7.1
2.65	0.8	4.3	74	1.3	5.8
2.34	0.92	6.4	56.8	1.6	5.1
1.79	0.53	0	67.4	0	14.2
2.61	1.09	12.7	50.5	0.1	8.3
4.46	1.12	11.3	48.7	0	7
6.38	2.84	3.9	0	0	37.6
3.39	2.23	18.1	13.1	0	27.2
6.39	2.87	5	0.6	0	39.3
5.38	2.17	4.4	9.4	0	33.9
3.34	1.67	14.4	32.8	0	12.2
2.73	1.07	2.3	42.3	0	7.5
5.22	2.34	10.4	16.3	0	23.4
4.83	2.44	9.8	11.1	0	29.2
3.66	2.69	7.2	10.9	0	32.3
1.82	1.11	6.3	56.8	10.4	5.1
1.49	0.97	6.7	62.3	0	3.4
3.19	1.67	14.2	28.8	16	13.3
4.13	3.46	30.3	3.7	0	28.1
3.82	3.23	20	24.3	1.7	20
4.59	4.72	36.7	8.1	0	16.1
3.72	2.57	29.4	27.6	0	9.1
5.57	4.78	30.6	0	0	32.8
5.3	5.58	43.8	2.8	0.8	19.9
4.14	3.2	39.4	10.4	0.8	18
5.11	6.01	34.8	0	0	25.5
3.86	3.46	37.8	10.2	0	24.5
4.8	4.68	38.7	1.5	0	28.2
4.38	5.2	29	0	0	24.2
4.46	4.87	25.3	6.3	0	25.5
4.14	4.36	29.1	9.2	0	26.5
1.47	1.24	14.4	28.5	0	17.2
5.88	5.15	39.5	0	0	24.8
7.11	3.91	59.4	0	1.5	13.1
6.86	4.42	54.7	0	0	11.6
6.17	3.59	51.2	0	0.4	21.3
6.31	4.69	44.8	0	0	26.3
4.64	3.96	35.7	5.5	0	28.6
5.19	2.9	42.8	0	0	29.6
2.99	2	25.4	34.9	0.1	10
6.15	3.86	43.7	0	0	27.8
5.81	5.02	41.8	0	0	29.3
5.28	3.9	37.5	0	1.2	28.5
1.8	0.8	12.1	61.9	0	5.7
4.51	3.35	20.9	4.7	21.8	23.9
2.59	1.3	8.5	52.4	14.8	8
5.18	3.72	41.9	0	0	30.2
6.06	3.95	38.7	0	0.6	21.3
5.89	4.53	47	0	0	30.7
5.76	4.36	44.2	0	0	26.8
4.99	4.66	31.2	22.4	0	22.4
5.72	5.18	44.1	0	0	29.8
5.12	5.76	37.4	0.5	0	26.8
5.75	5.09	41.7	4.1	0	29.4
4.75	2.97	36.2	29.9	0	7.1
1.41	4.91	25.5	2.9	0.1	26.1
4.48	3.89	23.6	12.3	0	18.1
5.22	4.69	33.7	0.7	0	29.6
4.4	2.64	23.2	2.4	33.1	15.5
5.34	4	33	3.1	3.3	25.7
5.54	3.71	40.9	2.8	1.7	21.3
7.02	3.38	38	0	4.2	14.7
6.71	4.11	51.4	0	0	28.2
5.91	5.3	50.3	0	0.2	20.6
6.08	4.5	59.2	0	4.7	17.4
4.1	1.79	9.3	6.3	41.2	14.2
4.74	3.79	26	0	0	35.6
6	4.06	43.8	0	0	26
3.4	3.66	38.6	0	0	25.3
5.1	2.82	9.7	2.8	4.5	34
4.39	3.72	37	0	1.7	26.6
4.8	4.61	35	0	0	26.7
3.54	5.35	34.5	8.7	5.3	18.8
3.22	4.27	34.1	0	0	27.6
4.98	4	26.5	0	0	29.2
4.06	6.23	30.4	0	0	21.3
4.4	4.64	34	0	0	31.6
3.97	5.41	33.6	0	0	26.5
3.17	1.98	19.1	44	11.7	7.3
4.63	4.62	35.7	0	0	23.1
4.73	5.55	39.5	0	0	23.6
4.23	3.43	36.1	0	1.9	26.8
8.05	3.48	26.5	0	0	22.5
4.64	4.85	23.7	0	0	35.1
5.04	4.94	28.5	0	0	35.4
4.47	4.99	28.2	0	0	36.2
4.61	5.09	28.1	0	0	39.1
4.01	4.92	33.2	0	0	40
3.77	4.42	33.2	0	0.3	33
3.38	6.76	31.1	0	0	26.2
3.01	5.86	32.6	0	0	23.7
3.58	5.49	30.8	0.2	11.5	30.7
3.99	6.81	46.3	0	0	26.4
5.43	3.67	37.8	0	8	20.5
4.38	3.9	24.5	0	13.2	24.3
2.05	6.77	20.1	0	0	32.9
4.82	5.83	40.4	0	0	29.8
4.13	6.69	42.1	0	0	31
4.51	5.86	32.1	0	0	31.1
3.96	7.48	29.7	0	0	35.9
3.42	7.21	26.7	0	0	28
3.77	5.71	37.9	0	0	26.4
4.48	4.72	34.8	0	0	30.5
4.81	3.72	37.8	0	0	35.5
3.26	5.01	42.3	3.7	2.8	31.2
3.41	4.18	36.3	0	0	26.6
4.85	4.98	43.2	0	1.3	20.7
3.92	5.1	28.4	0	0	35.3
3.59	5.79	28.1	0	1.5	33.6
1.41	0.72	5.2	75.7	0	0
3.57	6.31	23.1	0	0	30
3.32	3.55	16.8	0	2.4	38.4
3.45	6.94	29.6	0	0	31.1
5.23	3.8	20.8	0	0	42.9
4.61	5.11	17.7	4.7	3.4	32.2
4.61	5.07	19.1	0	0	36.4
3.74	6.73	17.3	0	0	35.3
3.75	5.39	32.6	0	7.5	26.8
4.75	3.59	15.2	0	1.5	48.6
3.54	2.73	10.9	5.2	45	18.1
3.9	4.88	31.7	0	0.3	30.8
4.2	5.49	12.8	2.7	0	33.2
3.4	4.78	10.8	22.4	0	23.7
3.66	2.67	10.8	5.5	29.7	23.2
4.25	3.09	20	4.7	3.3	36.2
3.51	4.38	18.2	7.2	0	34.4
3.34	6.75	12.8	0	1.6	42.9
4.08	3.94	19.5	0	0	43.7
2.54	4.86	17.6	25.7	0	32.4
1.35	1.7	6.4	67	0	4
2.99	3.95	30	23.5	0	21.1
2.81	1.75	8.7	8.1	41.4	13.1
5.41	2.83	33.4	1.1	0	25.7
6.37	4.99	43.4	1.8	0	26.4
3.84	3.42	39.3	18	10	19
4.65	4.56	50	9.4	0	19.6
4.39	2.78	21.6	7.9	23	22.4
3.46	2.91	29.3	7.6	9.6	26.5
3.86	1.53	43.1	7.8	0	28.7
3.77	2.06	26.7	15.4	2	28.4
4.6	3.52	31	0	1.6	33.9
4.16	2.47	16	8.7	0.6	28.3
2.49	2.32	24.8	19.8	3.9	27
2.99	3.66	20.2	11.9	0	25.8
6.28	0.11	0	0	87.2	5.4
