Depth,PEF,RHOB,NPHI,GR,AT90,facies
6432.5,3.661,2.3126,0.1838,120.5496,67.1664,3
6434.5,3.4846,2.4341,0.2206,133.4917,88.7391,3
6436.5,3.0076,2.488,0.2204,144.73,37.8431,3
6438.5,2.9624,2.5127,0.1691,109.9793,148.4039,4
6440.6,3.0933,2.5511,0.1741,118.2356,96.9911,3
6442.5,3.8576,2.6153,0.1514,159.3088,63.0493,3
6444.5,3.353,2.551,0.1774,155.5858,77.9386,1
6446.5,3.1526,2.514,0.1967,142.1812,63.2245,3
6448.4,3.581,2.6069,0.1517,122.8189,121.7389,3
6450.5,3.1444,2.4804,0.1949,154.8801,91.1608,3
6452.5,3.8762,2.5815,0.2006,242.3771,21.9805,3
6454.5,3.0808,2.494,0.1615,140.394,390.617,3
6456.5,3.1688,2.5269,0.1537,138.9735,121.1535,3
6458.5,3.3559,2.5142,0.1407,117.1604,276.0992,3
6460.5,3.4315,2.5558,0.1322,104.684,134.2577,3
6463.2,3.0087,2.4964,0.1686,180.0145,166.5686,4
6464.5,3.4349,2.5332,0.1466,126.4833,484.1744,2
6466.5,4.2492,2.657,0.0809,59.2244,266.8245,4
6468.5,4.4146,2.6586,0.0781,63.8428,212.2504,4
6470.5,4.7401,2.6558,0.0544,59.5461,443.8423,4
6472.7,4.6377,2.6574,0.0571,56.1089,494.6282,4
6474.5,4.5195,2.6548,0.0624,59.9238,560.925,4
6476.5,4.583,2.6494,0.0701,59.9185,400.9361,4
6478.2,4.722,2.6812,0.0487,50.1565,467.6866,4
6480.2,5.1289,2.7203,0.0161,31.1207,1617.9915,4
6482.2,4.6977,2.696,0.0532,53.3343,1030.3408,4
6484.2,4.7081,2.6926,0.054,53.4832,653.2024,4
6487,5.0456,2.7009,0.0311,32.8188,791.1097,4
6489,4.7008,2.7258,0.0345,35.4025,253.4051,4
6491,3.6871,2.5982,0.1431,107.421,78.9566,1
6493,3.5767,2.5397,0.206,145.4339,13.9179,1
6495.2,3.8461,2.4349,0.3058,133.5629,20.9866,1
6496.8,3.8003,2.6107,0.2092,108.3984,58.1707,1
6498.6,4.0013,2.4222,0.2417,119.7137,12.0055,4
6501.2,3.859,2.6362,0.2057,110.3728,43.4803,4
6503.6,4.5581,2.6726,0.1044,62.3574,62.7919,1
6505.6,3.8375,2.6034,0.1928,121.572,10.783,1
6507.4,3.4534,2.6029,0.2353,140.3983,18.4597,1
6509.5,3.4462,2.6014,0.2569,138.5984,19.14,4
6511.2,3.5279,2.6064,0.2421,136.2461,34.7548,4
6513.6,4.6947,2.6881,0.0602,53.9124,279.7733,4
6515,4.5678,2.6767,0.0757,65.5844,84.9518,1
6517.3,4.0741,2.6667,0.1268,86.3032,100.2941,3
6519.4,3.3731,2.571,0.1915,175.7284,103.8932,3
6520.8,3.285,2.5387,0.2011,144.728,142.416,4
6522.3,3.2364,2.5009,0.1789,143.6485,321.979,1
6524.2,3.0682,2.4777,0.205,151.5274,128.5586,3
6526.1,3.0236,2.5085,0.1883,144.3584,173.9412,3
6527.7,2.9767,2.4799,0.1997,143.5703,163.4983,1
6529.2,2.8772,2.4873,0.2089,142.7614,158.1437,3
6531.7,2.9336,2.4652,0.1957,143.2384,137.5248,1
6534,2.857,2.4723,0.2106,154.4218,156.9096,1
6535.8,2.9303,2.5224,0.1993,160.1102,123.8897,1
6538,3.5986,2.5613,0.2,272.563,109.0864,1
6540,3.652,2.5489,0.2042,209.3264,78.0916,4
6542.1,4.229,2.6057,0.162,357.5691,227.097,3
6543,4.7481,2.6609,0.1199,363.905,131.7364,3
6544.1,4.3852,2.6765,0.1025,210.5193,26.2126,3
6546.2,2.9145,2.4602,0.1632,155.1895,590.7405,3
6548.3,2.7907,2.4288,0.1615,188.692,269.2149,3
