Depth,Corrected porosity,Magnetic Number,TOC,Quartz,Calcite,Dolomite,Illite,Smectite,Kaolinite,Chlorite,Pyrite,Orthoclase Feldspar,Oglioclase Feldspar,Mixed Clays,Albite,Anhydrite,Siderite,Apatite,Aragonite
6432.5,6.67,8.7,4.15,38.6,0,0,25.7,0,0,3.4,0.4,1.6,0,14.7,7.9,0,3.6,3.2,1.1
6434.5,6.07,7,4.25,48.6,6.2,0,20.4,0,0,5,0,0,3.2,3.9,3.2,0.6,7.9,1,0
6436.5,4.91,7.3,3.4,41,2.5,0,27.7,0,0,0,0,0,0.8,12.4,7.4,0,5.9,2.3,0
6438.5,6,9.5,0.39,4.6,66.4,0,5,0,0,1.9,3.2,1,4.7,0,3.8,0,9.1,0.4,0
6440.6,5.63,7,3.9,37,0.6,1.2,23.5,0,0.9,6.7,1.3,4.6,0,8.9,9.8,0.5,2.9,2,0.2
6442.5,5.85,6.7,3.95,40.6,2.7,0,21,0,0.1,5.5,2.7,4.3,0,7.7,8.1,0.1,3.8,3.3,0
6444.5,0.88,2.5,3.5,29.3,5.5,0,29.1,0,0,1.7,0,0,0.2,14.9,10.4,0,6.7,2.4,0
6446.5,6.14,4.5,4.12,43.1,10,0,19.7,0,0,4.1,1.7,1.2,0,4.4,6.1,0,6.4,3.4,0
6448.4,5.27,5.3,3.61,33.7,21.9,0,22,0,0.4,5.6,0,1.5,0,1,4.7,0.3,5.9,3,0
6450.5,6.02,6.5,5.92,54.8,0,0,12,0,0.1,6.6,0,0,0,9.8,9.8,0,3.3,3.6,0
6452.5,4.46,6.5,3.15,50,7,0,18,0,0,3.9,0,0,1,0,5.8,0,6.3,7.9,0
6454.5,5.27,8.7,4.68,42.1,11.5,0,16,0,0,0,0,0,3.2,11.4,7.5,0,6.7,1.5,0
6456.5,4.42,6,2.49,27.3,21.1,11.1,13.7,0,0,4.2,0,0,3.7,1.5,4.8,0,10.5,2,0
6458.5,5.55,6,1.7,35.6,25.3,0,11,0,0,2.6,0,0,4.7,6.4,2.7,0.4,7.2,4.1,0
6460.5,5.09,6.5,3.49,40.9,0.4,0,25.5,0,0,1.9,0,0,0.1,12.9,8.1,0,6.3,3.9,0
6463.2,2.52,7.5,2.5,20.4,31,5.6,16.3,0,0,4.9,0,0,6.5,0,0,1,12.2,2.1,0
6464.5,2.7,4.5,1.51,3.7,28.5,30.1,12,0,0,2.4,0,0,1.3,2.1,6.9,0,10.3,2.9,0
6466.5,2.77,6,1.7,11.1,36.8,5.6,18.5,0,0,3,0,0,2.5,0,7.1,0,12.3,3.2,0
6468.5,2.09,2.7,0.83,6.8,61.3,5.1,6.8,0,0,4.7,0,0,4.4,0,1,1,7.2,1.8,0
