Depth,Corr_por,TOC,Quartz,Calcite,Dolomite,Illite,Smectite,Kaolinite,Chlorite,Mixed_Clays,Albite,Siderite,Apatite,Aragonite,Clays,Carbonate,GR,RHOB,RHOBE_Norm,TNPH
6432.5,6.67,4.15,38.6,0,0,25.7,0,0,3.4,14.7,7.9,3.6,3.2,1.1,43.7,4.7,120.55,2.31,2.31,18.4
6434.5,6.07,4.25,48.6,6.2,0,20.4,0,0,5,3.9,3.2,7.9,1,0,29.4,14.1,133.49,2.43,2.43,22.1
6436.5,4.91,3.4,41,2.5,0,27.7,0,0,0,12.4,7.4,5.9,2.3,0,40,8.5,144.73,2.49,2.48,22
6438.5,6,0.39,4.6,66.4,0,5,0,0,1.9,0,3.8,9.1,0.4,0,6.9,75.5,109.98,2.51,2.51,16.9
6440.6,5.63,3.9,37,0.6,1.2,23.5,0,0.9,6.7,8.9,9.8,2.9,2,0.2,39.9,5,118.24,2.55,2.55,17.4
6442.5,5.85,3.95,40.6,2.7,0,21,0,0.1,5.5,7.7,8.1,3.8,3.3,0,34.4,6.6,159.31,2.62,2.61,15.1
6444.5,0.88,3.5,29.3,5.5,0,29.1,0,0,1.7,14.9,10.4,6.7,2.4,0,45.6,12.2,155.59,2.55,2.55,17.7
6446.5,6.14,4.12,43.1,10,0,19.7,0,0,4.1,4.4,6.1,6.4,3.4,0,28.2,16.3,142.18,2.51,2.51,19.7
6448.4,5.27,3.61,33.7,21.9,0,22,0,0.4,5.6,1,4.7,5.9,3,0,29,27.8,128.72,2.59,2.59,16.2
6450.5,6.02,5.92,54.8,0,0,12,0,0.1,6.6,9.8,9.8,3.3,3.6,0,28.5,3.3,154.88,2.48,2.48,19.5
6452.5,4.46,3.15,50,7,0,18,0,0,3.9,0,5.8,6.3,7.9,0,21.9,13.3,242.38,2.58,2.58,20.1
6454.5,5.27,4.68,42.1,11.5,0,16,0,0,0,11.4,7.5,6.7,1.5,0,27.4,18.2,140.39,2.49,2.49,16.2
6456.5,4.42,2.49,27.3,21.1,11.1,13.7,0,0,4.2,1.5,4.8,10.5,2,0,19.5,42.8,138.97,2.53,2.52,15.4
6458.5,5.55,1.7,35.6,25.3,0,11,0,0,2.6,6.4,2.7,7.2,4.1,0,20,32.4,117.16,2.51,2.51,14.1
6460.5,5.09,3.49,40.9,0.4,0,25.5,0,0,1.9,12.9,8.1,6.3,3.9,0,40.3,6.7,104.68,2.56,2.55,13.2
6463.2,2.52,2.5,20.4,31,5.6,16.3,0,0,4.9,0,0,12.2,2.1,0,21.2,48.8,180.01,2.5,2.49,16.9
6464.5,2.7,1.51,3.7,28.5,30.1,12,0,0,2.4,2.1,6.9,10.3,2.9,0,16.5,68.8,126.48,2.53,2.53,14.7
6466.5,2.77,1.7,11.1,36.8,5.6,18.5,0,0,3,0,7.1,12.3,3.2,0,21.5,54.7,59.22,2.66,2.65,8.1
6468.5,2.09,0.83,6.8,61.3,5.1,6.8,0,0,4.7,0,1,7.2,1.8,0,11.5,73.5,63.84,2.66,2.65,7.8
6470.5,1.96,1.14,10.6,45.8,4.9,16.6,0,0,3,0,2.8,11.6,2.6,0,19.6,62.2,59.55,2.66,2.65,5.4
6472.7,2.13,1.29,10.3,53.4,0,12.4,0,0,6.6,0,2.8,10.1,1.5,0,19,63.5,56.11,2.66,2.65,5.7
6474.5,2.74,1.44,8.4,56.7,0,10,0,0,4.7,0,5.2,10.4,1.7,0,14.7,67.2,59.92,2.66,2.65,6.2
6476.5,2.03,0.49,1.8,68.8,1.7,5.4,0,0,5.9,0,0,4.8,1.5,0,11.3,75.3,59.92,2.65,2.64,7
