Corr_por,TOC,Quartz,Calcite,Illite,Mixed_Clays,Clays,Carbonate
6.67,4.15,38.6,0,25.7,14.7,43.7,4.7
6.07,4.25,48.6,6.2,20.4,3.9,29.4,14.1
4.91,3.4,41,2.5,27.7,12.4,40,8.5
6,0.39,4.6,66.4,5,0,6.9,75.5
5.63,3.9,37,0.6,23.5,8.9,39.9,5
5.85,3.95,40.6,2.7,21,7.7,34.4,6.6
0.88,3.5,29.3,5.5,29.1,14.9,45.6,12.2
6.14,4.12,43.1,10,19.7,4.4,28.2,16.3
5.27,3.61,33.7,21.9,22,1,29,27.8
6.02,5.92,54.8,0,12,9.8,28.5,3.3
4.46,3.15,50,7,18,0,21.9,13.3
5.27,4.68,42.1,11.5,16,11.4,27.4,18.2
4.42,2.49,27.3,21.1,13.7,1.5,19.5,42.8
5.55,1.7,35.6,25.3,11,6.4,20,32.4
5.09,3.49,40.9,0.4,25.5,12.9,40.3,6.7
2.52,2.5,20.4,31,16.3,0,21.2,48.8
2.7,1.51,3.7,28.5,12,2.1,16.5,68.8
2.77,1.7,11.1,36.8,18.5,0,21.5,54.7
2.09,0.83,6.8,61.3,6.8,0,11.5,73.5
1.96,1.14,10.6,45.8,16.6,0,19.6,62.2
2.13,1.29,10.3,53.4,12.4,0,19,63.5
2.74,1.44,8.4,56.7,10,0,14.7,67.2
2.03,0.49,1.8,68.8,5.4,0,11.3,75.3
2.16,0.64,0,78.6,7.1,0,7.8,87.2
2.65,0.8,4.3,74,5.8,0,10.7,80
2.34,0.92,6.4,56.8,5.1,2.3,12.3,73.5
1.79,0.53,0,67.4,14.2,0,16.4,76.2
2.61,1.09,12.7,50.5,8.3,0,12.2,67.6
4.46,1.12,11.3,48.7,7,3.1,19,58.5
6.38,2.84,3.9,0,37.6,26.1,72.9,7.1
3.39,2.23,18.1,13.1,27.2,13.2,45.2,27.5
6.39,2.87,5,0.6,39.3,25.4,74,7.4
5.38,2.17,4.4,9.4,33.9,19.3,62,21
3.34,1.67,14.4,32.8,12.2,7.9,29,47.1
2.73,1.07,2.3,42.3,7.5,0,14.4,65.4
5.22,2.34,10.4,16.3,23.4,20.2,51.7,25.6
4.83,2.44,9.8,11.1,29.2,21.3,56.9,20.3
3.66,2.69,7.2,10.9,32.3,19.7,58.5,21.1
1.82,1.11,6.3,56.8,5.1,0,12.1,76.2
1.49,0.97,6.7,62.3,3.4,0,10.1,75.7
3.19,1.67,14.2,28.8,13.3,4.9,21.7,56.2
4.13,3.46,30.3,3.7,28.1,17.7,48.8,10.1
3.82,3.23,20,24.3,20,0,23.3,33.6
4.59,4.72,36.7,8.1,16.1,17.5,39.7,15.3
3.72,2.57,29.4,27.6,9.1,3.2,16.3,37.4
5.57,4.78,30.6,0,32.8,17.7,50.5,5.4
5.3,5.58,43.8,2.8,19.9,15.6,39.1,9.8
4.14,3.2,39.4,10.4,18,12.2,31.4,19.6
5.11,6.01,34.8,0,25.5,20.8,47.9,6.3
3.86,3.46,37.8,10.2,24.5,2.4,29.2,18.4
4.8,4.68,38.7,1.5,28.2,15.7,44.6,8.6
4.38,5.2,29,0,24.2,27.1,51.7,7.3
4.46,4.87,25.3,6.3,25.5,15.5,45.4,11.9
4.14,4.36,29.1,9.2,26.5,9.8,38.5,15.5
1.47,1.24,14.4,28.5,17.2,14.2,34.2,33.4
5.88,5.15,39.5,0,24.8,8.2,33.1,6.4
7.11,3.91,59.4,0,13.1,0.1,14.3,6.5
6.86,4.42,54.7,0,11.6,9.6,23.6,6
6.17,3.59,51.2,0,21.3,5.9,27.2,7.6
6.31,4.69,44.8,0,26.3,14.2,40.5,5.8
4.64,3.96,35.7,5.5,28.6,2.9,33.1,10.3
5.19,2.9,42.8,0,29.6,6.3,36.8,4
2.99,2,25.4,34.9,10,0,14.2,40.1
6.15,3.86,43.7,0,27.8,5.4,35,4.3
5.81,5.02,41.8,0,29.3,6.8,39.8,4.9
5.28,3.9,37.5,0,28.5,20,48.6,5.3
1.8,0.8,12.1,61.9,5.7,0,8.6,67.7
4.51,3.35,20.9,4.7,23.9,8.6,32.7,30.6
2.59,1.3,8.5,52.4,8,0,13.6,73.9
5.18,3.72,41.9,0,30.2,10.8,41,2.3
6.06,3.95,38.7,0,21.3,22.5,45.8,5.3
5.89,4.53,47,0,30.7,8.7,39.4,3.3
5.76,4.36,44.2,0,26.8,19.9,46.7,2.2
4.99,4.66,31.2,22.4,22.4,3.7,27.6,25.3
5.72,5.18,44.1,0,29.8,4.2,35,4.7
5.12,5.76,37.4,0.5,26.8,12.6,39.4,6.2
5.75,5.09,41.7,4.1,29.4,5,35.4,8.8
4.75,2.97,36.2,29.9,7.1,7.4,15.6,35.8
