Well ori,Well,DEPTH,PEF,RHOB,NPHI,GR,AT90
4.21E+11,1,7300.5,3.5011,2.6131,0.1688,139.5042,11.2686
4.21E+11,1,7301,3.4651,2.6159,0.1696,139.4303,11.4767
4.21E+11,1,7301.5,3.4634,2.6189,0.1713,140.4834,12.102
4.21E+11,1,7302,3.4611,2.6232,0.1731,139.4347,12.9594
4.21E+11,1,7302.5,3.4647,2.621,0.1748,139.697,12.7187
4.21E+11,1,7303,3.4605,2.618,0.1789,137.963,11.8497
4.21E+11,1,7303.5,3.4409,2.6194,0.1813,138.1873,11.6462
4.21E+11,1,7304,3.4693,2.6147,0.1825,138.1909,12.5117
4.21E+11,1,7304.5,3.4785,2.613,0.1753,139.0437,13.0755
4.21E+11,1,7305,3.4765,2.6105,0.175,139.6086,12.6687
4.21E+11,1,7305.5,3.434,2.613,0.1731,138.4693,10.8704
4.21E+11,1,7306,3.4074,2.6092,0.181,138.4875,10.2041
4.21E+11,1,7306.5,3.3511,2.609,0.1837,141.8678,10.2731
4.21E+11,1,7307,3.298,2.6156,0.1874,143.6606,10.8183
4.21E+11,1,7307.5,3.2545,2.623,0.1847,143.5047,10.8001
4.21E+11,1,7308,3.2622,2.6267,0.1854,141.6326,11.0309
4.21E+11,1,7308.5,3.2734,2.6272,0.175,140.0726,10.7734
4.21E+11,1,7309,3.3041,2.6267,0.1731,139.8386,10.7777
4.21E+11,1,7309.5,3.3562,2.6216,0.1708,137.6862,10.5589
4.21E+11,1,7310,3.4048,2.6163,0.1749,136.9006,10.2179
4.21E+11,1,7310.5,3.4349,2.6191,0.1785,134.4069,10.248
4.21E+11,1,7311,3.4552,2.6307,0.1761,135.667,10.6793
4.21E+11,1,7311.5,3.4372,2.6371,0.1734,138.2823,10.6204
4.21E+11,1,7312,3.4165,2.6376,0.1703,141.4908,10.0659
4.21E+11,1,7312.5,3.3737,2.6358,0.1786,140.7455,9.9768
4.21E+11,1,7313,3.3931,2.634,0.1805,138.093,9.9264
4.21E+11,1,7313.5,3.4284,2.6278,0.1856,139.1141,10.0728
4.21E+11,1,7314,3.4731,2.6143,0.1852,139.7431,9.8863
4.21E+11,1,7314.5,3.4874,2.6049,0.191,142.4505,10.0225
4.21E+11,1,7315,3.4694,2.6019,0.1894,143.0172,10.6059
4.21E+11,1,7315.5,3.4414,2.6,0.1913,142.2174,11.106
4.21E+11,1,7316,3.3904,2.6003,0.1886,140.2499,11.6378
4.21E+11,1,7316.5,3.363,2.6044,0.1877,139.2938,12.2452
4.21E+11,1,7317,3.3467,2.6057,0.1847,141.2001,12.4915
4.21E+11,1,7317.5,3.3552,2.6064,0.183,140.6999,12.3017
4.21E+11,1,7318,3.3377,2.6051,0.1837,141.5084,12.0495
4.21E+11,1,7318.5,3.3018,2.6124,0.182,141.4303,11.3441
4.21E+11,1,7319,3.2679,2.6192,0.1783,142.0407,10.7355
4.21E+11,1,7319.5,3.2633,2.6204,0.1743,141.2923,10.1872
4.21E+11,1,7320,3.2823,2.6139,0.1778,144.9749,9.7212
4.21E+11,1,7320.5,3.3146,2.602,0.1849,148.3922,9.2781
4.21E+11,1,7321,3.3159,2.5991,0.1899,148.7378,9.1005
4.21E+11,1,7321.5,3.3122,2.6016,0.1865,145.1281,9.2997
4.21E+11,1,7322,3.3003,2.6079,0.1815,146.5492,9.4344
4.21E+11,1,7322.5,3.2972,2.6095,0.1787,150.2006,8.6796
4.21E+11,1,7323,3.3172,2.6071,0.1839,154.5611,7.7001
4.21E+11,1,7323.5,3.3779,2.6076,0.1931,154.065,6.9109
4.21E+11,1,7324,3.4582,2.5976,0.2046,153.0118,6.0982
4.21E+11,1,7324.5,3.4937,2.598,0.2095,153.3489,5.4841
4.21E+11,1,7325,3.4603,2.5943,0.2106,153.362,5.0343
4.21E+11,1,7325.5,3.3705,2.599,0.2003,153.0023,5.0484
4.21E+11,1,7326,3.2985,2.5914,0.1995,153.2646,5.0985
4.21E+11,1,7326.5,3.3194,2.581,0.2015,152.934,4.8885
4.21E+11,1,7327,3.467,2.591,0.2054,153.1983,4.8191
4.21E+11,1,7327.5,3.6719,2.5913,0.1946,154.5109,4.8043
4.21E+11,1,7328,3.8992,2.6022,0.1954,154.0899,4.7781
4.21E+11,1,7328.5,4.1476,2.5892,0.1962,149.4011,5.0542
4.21E+11,1,7329,4.3701,2.6146,0.1958,137.6593,5.578
4.21E+11,1,7329.5,4.4468,2.6407,0.168,120.9472,7.2475
4.21E+11,1,7330,4.3695,2.6881,0.1141,101.0104,12.5192
4.21E+11,1,7332.5,3.6886,2.6264,0.1152,105.0119,21.8091
4.21E+11,1,7333,3.6268,2.62,0.1155,112.9323,18.7512
4.21E+11,1,7333.5,3.6047,2.6172,0.1226,118.8332,16.3853
4.21E+11,1,7334,3.6108,2.6084,0.1367,125.4424,14.8394
4.21E+11,1,7334.5,3.7732,2.5908,0.1545,128.6673,13.2317
4.21E+11,1,7335,4.0987,2.6051,0.1738,130.7906,10.9151
4.21E+11,1,7335.5,4.478,2.6318,0.1836,126.6621,8.1177
4.21E+11,1,7336,4.6865,2.6775,0.1583,118.5016,8.7428
4.21E+11,1,7336.5,4.7374,2.6909,0.1208,102.2438,13.8453
4.21E+11,1,7343.5,4.7086,2.6549,0.15,110.9202,5.9372
4.21E+11,1,7344,4.6673,2.6627,0.1818,116.3984,5.8001
4.21E+11,1,7344.5,4.6379,2.678,0.1734,111.2982,6.4542
4.21E+11,1,7345,4.6904,2.6535,0.1609,104.4856,6.7703
4.21E+11,1,7345.5,4.8197,2.634,0.1669,102.9704,6.5077
4.21E+11,1,7346,4.9695,2.5924,0.1843,106.9917,5.5827
4.21E+11,1,7349,4.794,2.6286,0.1831,108.7599,6.2541
4.21E+11,1,7349.5,4.5825,2.6585,0.1727,109.5296,6.3354
4.21E+11,1,7350,4.6004,2.6421,0.1794,114.1833,5.8013
4.21E+11,1,7350.5,4.6563,2.642,0.1768,114.2968,6.0525
4.21E+11,1,7351,4.6235,2.6623,0.1652,107.9303,6.851
4.21E+11,1,7371.5,4.9288,2.6365,0.2106,115.9319,5.1652
4.21E+11,1,7372,4.6673,2.6506,0.2083,119.3359,5.0289
4.21E+11,1,7372.5,4.525,2.6459,0.2096,120.0295,4.9338
4.21E+11,1,7373,4.5156,2.6316,0.2061,122.8306,4.8987
4.21E+11,1,7373.5,4.5853,2.6142,0.2152,124.5228,4.8862
4.21E+11,1,7374,4.6468,2.6202,0.2095,123.9156,4.9011
4.21E+11,1,7374.5,4.6018,2.6281,0.2129,121.3342,5.0594
4.21E+11,1,7375,4.4834,2.6381,0.2043,117.052,5.2085
4.21E+11,1,7375.5,4.3958,2.6261,0.2096,116.8353,5.2702
4.21E+11,1,7376,4.4566,2.6154,0.2078,116.4707,5.0564
4.21E+11,1,7376.5,4.6336,2.61,0.2163,119.3501,4.93
4.21E+11,1,7377,4.8509,2.6082,0.2242,122.2161,4.7932
4.21E+11,1,7379.5,4.9888,2.6161,0.2277,124.3132,4.474
4.21E+11,1,7380,4.9818,2.6025,0.2203,121.4927,4.5442
4.21E+11,1,7572,4.1243,2.6551,0.1568,100.8854,10.0556
4.21E+11,1,7594.5,4.0557,2.6641,0.1675,103.1178,8.3831
4.21E+11,1,7595,4.0269,2.6569,0.1724,105.1204,8.0344
4.21E+11,1,7595.5,4.0142,2.6508,0.1763,106.1617,7.7389
4.21E+11,1,7596,3.9832,2.6502,0.1736,106.9424,7.7047
4.21E+11,1,7596.5,3.9802,2.649,0.1759,106.8839,7.7682
4.21E+11,1,7597,3.9889,2.6518,0.1694,106.2446,7.9856
4.21E+11,1,7597.5,4.0338,2.6523,0.1702,103.8409,8.1027
4.21E+11,1,7598,4.0848,2.6508,0.1659,104.127,8.255
4.21E+11,1,7598.5,4.1134,2.6484,0.172,104.8618,8.4232
4.21E+11,1,7599,4.1236,2.6433,0.1746,107.4685,8.2865
4.21E+11,1,7599.5,4.1021,2.6424,0.176,109.3339,7.9968
4.21E+11,1,7600,4.0808,2.6423,0.1749,109.8593,8.0198
4.21E+11,1,7600.5,4.0524,2.6457,0.1763,108.5975,8.1811
4.21E+11,1,7601,4.0385,2.6452,0.1793,107.4731,8.1912
4.21E+11,1,7601.5,4.0098,2.6458,0.1829,107.6159,8.1182
4.21E+11,1,7602,3.9802,2.646,0.1846,109.0521,7.9862
4.21E+11,1,7602.5,3.9948,2.6423,0.1878,109.6898,7.8513
4.21E+11,1,7603,4.0304,2.6407,0.1859,109.6402,7.8294
4.21E+11,1,7603.5,4.0712,2.6414,0.1826,108.2797,8.0447
4.21E+11,1,7604,4.1023,2.6448,0.1833,107.8459,8.2223
4.21E+11,1,7604.5,4.1229,2.648,0.1801,105.9614,8.2518
4.21E+11,1,7605,4.1299,2.6504,0.1787,104.7865,8.2435
4.21E+11,1,7605.5,4.0936,2.6549,0.1686,102.3559,8.2071
4.21E+11,1,7606,4.0836,2.6482,0.1674,102.645,7.9575
4.21E+11,1,7606.5,4.0767,2.6419,0.1673,104.0035,7.5308
4.21E+11,1,7607,4.1007,2.6331,0.1786,107.2759,7.4151
4.21E+11,1,7607.5,4.1052,2.6379,0.1821,108.8357,7.7898
4.21E+11,1,7608,4.1222,2.6424,0.1812,105.3297,8.162
4.21E+11,1,7608.5,4.13,2.6509,0.175,101.9345,8.3446
4.21E+11,1,7609.5,4.0952,2.6655,0.1698,102.8039,8.7356
4.21E+11,1,7610,4.068,2.6673,0.1659,105.7502,9.0325
4.21E+11,1,7610.5,4.0618,2.6623,0.1663,107.8501,9.2354
4.21E+11,1,7611,4.0911,2.6575,0.169,106.8778,9.3967
4.21E+11,1,7611.5,4.1397,2.654,0.1744,103.4609,9.4712
4.21E+11,1,7612,4.2094,2.6482,0.1742,102.0611,9.7238
4.21E+11,1,7612.5,4.2522,2.6451,0.1673,100.5597,10.0617
4.21E+11,1,7616,4.2125,2.6569,0.1628,103.6742,10.8386
4.21E+11,1,7616.5,4.2289,2.6537,0.1653,103.709,10.9986
